year,month,day,hour,day-ahead-forecast,actual-demand,error,abs-error,error-percentage,cost
2023,4,6,2,6129.0,6632.96,-503.96,503.96,7.597814550366655,1007.92
2023,4,6,5,6085.0,6459.28,-374.27999999999975,374.27999999999975,5.794453871019677,748.5599999999995
2023,4,6,8,6537.0,6261.56,275.4399999999996,275.4399999999996,4.3989037875545325,275.4399999999996
2023,4,6,11,7210.0,6476.06,733.9399999999996,733.9399999999996,11.33312538796737,733.9399999999996
2023,4,6,14,7110.0,6861.14,248.85999999999967,248.85999999999967,3.6270940397659817,248.85999999999967
2023,4,6,17,7315.0,7369.5,-54.5,54.5,0.7395345681525205,109.0
2023,4,6,20,8955.0,9090.05,-135.04999999999927,135.04999999999927,1.4856903977425788,270.09999999999854
2023,4,6,23,7994.0,8494.87,-500.8700000000008,500.8700000000008,5.896146733263731,1001.7400000000016
2023,4,0,2,6075.0,6624.27,-549.2700000000004,549.2700000000004,8.291781584989748,1098.5400000000009
2023,4,0,5,6019.0,6512.75,-493.75,493.75,7.581282868220029,987.5
2023,4,0,8,7222.0,7436.41,-214.40999999999983,214.40999999999983,2.8832460824510733,428.81999999999965
2023,4,0,11,7576.0,7463.61,112.39000000000031,112.39000000000031,1.5058396673995604,112.39000000000031
2023,4,0,14,7660.0,7883.61,-223.60999999999967,223.60999999999967,2.8363909427280105,447.21999999999935
2023,4,0,17,8079.0,7877.26,201.73999999999975,201.73999999999975,2.561042799145893,201.73999999999975
2023,4,0,20,9259.0,9167.4,91.60000000000036,91.60000000000036,0.9991927918493833,91.60000000000036
2023,4,0,23,7947.0,8289.52,-342.52000000000044,342.52000000000044,4.131964215057089,685.0400000000009
2023,4,1,2,6632.0,6474.6,157.39999999999964,157.39999999999964,2.4310382108547186,157.39999999999964
2023,4,1,5,6492.0,6452.09,39.909999999999854,39.909999999999854,0.6185592575429024,39.909999999999854
2023,4,1,8,7259.0,7500.27,-241.27000000000044,241.27000000000044,3.2168175279023346,482.5400000000009
2023,4,1,11,7385.0,7652.34,-267.34000000000015,267.34000000000015,3.4935719008826074,534.6800000000003
2023,4,1,14,7465.0,7826.4,-361.3999999999997,361.3999999999997,4.617704180721655,722.7999999999994
2023,4,1,17,7887.0,8201.22,-314.21999999999935,314.21999999999935,3.831381184750554,628.4399999999987
2023,4,1,20,9060.0,8604.91,455.09000000000015,455.09000000000015,5.288724693227473,455.09000000000015
2023,4,1,23,8143.0,7855.01,287.9899999999998,287.9899999999998,3.666322512638428,287.9899999999998
2023,4,2,2,6326.0,6309.62,16.38000000000011,16.38000000000011,0.2596035894396193,16.38000000000011
